date,total,nobl,growth
2014-10-16 00:00:00-04:00,1044704.031497671,725520.8275945812,319183.2039030899
2014-10-17 00:00:00-04:00,1058470.6640909053,735079.9227812251,323390.7413096802
2014-10-20 00:00:00-04:00,1069460.9501703724,741236.6921851407,328224.25798523164
2014-10-21 00:00:00-04:00,1090074.174807656,753226.2112093149,336847.9635983413
2014-10-22 00:00:00-04:00,1086391.0918961342,751281.6989929404,335109.3929031939
2014-10-23 00:00:00-04:00,1097427.9513659708,757276.4978564706,340151.4535095002
2014-10-24 00:00:00-04:00,1106366.619203027,763433.2672603863,342933.35194264085
2014-10-27 00:00:00-04:00,1106934.125115553,763757.3657469298,343176.75936862326
2014-10-28 00:00:00-04:00,1118433.9037209922,770075.9482854576,348357.95543553453
2014-10-29 00:00:00-04:00,1115041.1453937595,767969.7803402438,347071.36505351576
2014-10-30 00:00:00-04:00,1122252.02024361,774450.4908249299,347801.5294186802
2014-10-31 00:00:00-04:00,1135961.7372095515,783361.4677413733,352600.2694681782
2014-11-03 00:00:00-05:00,1135870.8405277366,782227.3591471305,353643.481380606
2014-11-04 00:00:00-05:00,1136308.641819484,783847.5367683021,352461.10505118186
2014-11-05 00:00:00-05:00,1141528.2524903351,789032.1681183601,352496.084371975
2014-11-06 00:00:00-05:00,1144585.1200242364,790976.4442260752,353608.67579816125
2014-11-07 00:00:00-05:00,1146216.3649172634,792920.5629280172,353295.80198924616
2014-11-10 00:00:00-05:00,1151032.553699229,796484.9379540173,354547.61574521154
2014-11-11 00:00:00-05:00,1152145.2319945893,796484.9379540173,355660.29404057196
2014-11-12 00:00:00-05:00,1153581.3995671263,797295.184170376,356286.21539675037
2014-11-13 00:00:00-05:00,1156407.6420818162,798591.3420078906,357816.3000739257
2014-11-14 00:00:00-05:00,1155900.0514293027,796970.9282780596,358929.123151243
2014-11-17 00:00:00-05:00,1157090.6238472443,799239.460278091,357851.1635691532
2014-11-18 00:00:00-05:00,1163818.7069917524,803290.0617367928,360528.6452549596
2014-11-19 00:00:00-05:00,1163642.0562562756,804747.7966002602,358894.25965601543
2014-11-20 00:00:00-05:00,1165565.9419115866,805072.1311954631,360493.81071612344
